accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs	diagnosticMeasurementValue	diagnosticMeasurementMethod	diagnosticMeasurementUnit
PP_0024X2P.1	B.D	2013-03-17	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15171	2016-08-15	KX655661.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX655661.1				0	0			
PP_0024X3M.1	B.D.4	2012-12-27	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15245	2016-08-15	KX655664.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX655664.1				0	0			
PP_0024X4K.1	B.D.1	2010-06-27	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15172	2016-08-15	KX655669.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX655669.1				0	0			
PP_0024X5H.1	B.D.4	2013-01-31	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15232	2016-08-15	KX655671.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX655671.1				0	0			
PP_0024X6F.1	B.D	2013-02-26	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15152	2016-08-15	KX655674.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9958612534489555			KX655674.1				0	0			
PP_0024X7D.1	B.D.4	2013-03-13	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15228	2016-08-15	KX655681.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX655681.1				0	0			
PP_0024X8B.1	B.D	2013-03-03	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15172	2016-08-15	KX655683.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX655683.1				0	0			
PP_0024X99.1	B.D	2010-03-21	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15171	2016-08-15	KX655684.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX655684.1				0	0			
PP_0024XA7.1	B.D.1.1	2012-04-24	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15172	2016-08-15	KX655685.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX655685.1				0	0			
PP_0024XB5.1	B.D	2012-04-05	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15228	2016-08-15	KX655686.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX655686.1				0	0			
PP_0024XC3.1	B.D.1	2010-03-31	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15112	2016-08-15	KX655690.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX655690.1				0	0			
PP_0024XD1.1	B.D	2013-03-27	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15172	2016-08-15	KX655693.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX655693.1				0	0			
PP_0024XEZ.1	B.D	2013-01-17	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15212	2016-08-15	KX655698.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX655698.1				0	0			
PP_0024XFX.1	B.D	2013-02-11	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	15172	2016-08-15	KX655700.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX655700.1				0	0			
PP_0024XGV.1	B.D	2011-02-24	Jordan	Amman	Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.	J. Craig Venter Institute	Homo sapiens	11336	2016-08-15	KX655701.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.7447116016292209			KX655701.1				0	0			
PP_0024XHS.1	B.D.1.1	2014-07-30	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15171	2016-10-01	KX765888.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765888.1				0	0			
PP_0024XJQ.1	B.D	2012-07-30	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15173	2016-10-01	KX765889.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765889.1				0	0			
PP_0024XKN.1	B.D	2011-07-03	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15173	2016-10-01	KX765890.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765890.1				0	0			
PP_0024XLL.1	B.D.4	2014-05-30	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15233	2016-10-01	KX765892.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765892.1				0	0			
PP_0024XMJ.1	B.D.1	2010-08-05	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15171	2016-10-01	KX765893.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765893.1				0	0			
PP_0024XNG.1	B.D.4	2014-05-31	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765895.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765895.1				0	0			
PP_0024XPE.1	B.D.4	2013-07-27	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765897.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765897.1				0	0			
PP_0024XQC.1	B.D	2010-08-09	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15212	2016-10-01	KX765899.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765899.1				0	0			
PP_0024XRA.1	B.D.1	2010-08-27	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765900.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765900.1				0	0			
PP_0024XS8.1	B.D	2011-09-19	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15175	2016-10-01	KX765903.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765903.1				0	0			
PP_0024XT6.1	B.D.4	2014-06-28	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15212	2016-10-01	KX765905.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765905.1				0	0			
PP_0024XU4.1	B.D.4.1	2015-07-08	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765906.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765906.1				0	0			
PP_0024XV2.1	B.D.1.1	2014-06-05	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765907.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765907.1				0	0			
PP_0024XW0.1	B.D.1.1	2013-10-22	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765908.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765908.1				0	0			
PP_0024XXY.1	B.D.1.1	2013-07-06	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765909.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765909.1				0	0			
PP_0024XYW.1	B.D.4	2014-06-04	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765912.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765912.1				0	0			
PP_0024XZU.1	B.D.4	2014-06-08	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765921.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765921.1				0	0			
PP_0024Y0S.1	B.D	2011-07-09	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15173	2016-10-01	KX765922.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765922.1				0	0			
PP_0024Y1Q.1	B.D.1.1	2013-06-29	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765923.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765923.1				0	0			
PP_0024Y2N.1	B.D	2011-07-03	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15175	2016-10-01	KX765927.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765927.1				0	0			
PP_0024Y3L.1	B.D.4	2014-06-19	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765929.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765929.1				0	0			
PP_0024Y4J.1	B.D	2010-08-27	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15212	2016-10-01	KX765930.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765930.1				0	0			
PP_0024Y5G.1	B.D.4.1	2015-06-29	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765935.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765935.1				0	0			
PP_0024Y6E.1	B.D.1.1	2013-08-24	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765943.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765943.1				0	0			
PP_0024Y7C.1	B.D	2010-10-20	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765945.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765945.1				0	0			
PP_0024Y8A.1	B.D.4	2014-04-30	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765947.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765947.1				0	0			
PP_0024Y98.1	B.D	2011-09-04	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765949.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765949.1				0	0			
PP_0024YA6.1	B.D	2012-08-19	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765952.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765952.1				0	0			
PP_0024YB4.1	B.D.4	2014-06-22	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765957.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765957.1				0	0			
PP_0024YC2.1	B.D.4	2013-09-08	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765959.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765959.1				0	0			
PP_0024YD0.1	B.D.4	2015-07-10	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765961.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765961.1				0	0			
PP_0024YEY.1	B.D.4	2013-09-03	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765962.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765962.1				0	0			
PP_0024YFW.1	B.D	2010-08-09	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765963.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765963.1				0	0			
PP_0024YGU.1	B.D	2012-07-18	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15173	2016-10-01	KX765964.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765964.1				0	0			
PP_0024YHR.1	B.D.1.1	2013-09-09	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765965.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765965.1				0	0			
PP_0024YJP.1	B.D.4	2014-06-04	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765966.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765966.1				0	0			
PP_0024YKM.1	B.D	2010-08-05	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15232	2016-10-01	KX765968.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765968.1				0	0			
PP_0024YLK.1	B.D.1.1	2014-05-27	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15172	2016-10-01	KX765973.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.996715280515044			KX765973.1				0	0			
PP_0024YMH.1	B.D.4	2012-12-21	United Kingdom		Valappil, M.; Talts, T.; Ellis, J.; Sails, A.; Eltringham, G.; Waugh, S.; Gould, K.; Harrison, I.; Pebody, R.; Zambon, M.	Public Health England National Infection Services, Reference Microbiology	Homo sapiens	15276	2017-01-24	KY249667.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KY249667.1			RSVB/England313/2012	0	0			
PP_0024YNF.1	B.D	2012-12-06	United Kingdom		Valappil, M.; Talts, T.; Ellis, J.; Sails, A.; Eltringham, G.; Waugh, S.; Gould, K.; Harrison, I.; Pebody, R.; Zambon, M.	Public Health England National Infection Services, Reference Microbiology	Homo sapiens	15269	2017-01-24	KY249668.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KY249668.1			RSVB/England453/2012	0	0			
PP_0024YPD.1	B.D	2012-12-06	United Kingdom		Valappil, M.; Talts, T.; Ellis, J.; Sails, A.; Eltringham, G.; Waugh, S.; Gould, K.; Harrison, I.; Pebody, R.; Zambon, M.	Public Health England National Infection Services, Reference Microbiology	Homo sapiens	15268	2017-01-24	KY249669.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KY249669.1			RSVB/England787/2012	0	0			
PP_0024YQB.1	B.D.4	2012-12-04	United Kingdom		Valappil, M.; Talts, T.; Ellis, J.; Sails, A.; Eltringham, G.; Waugh, S.; Gould, K.; Harrison, I.; Pebody, R.; Zambon, M.	Public Health England National Infection Services, Reference Microbiology	Homo sapiens	15274	2017-01-24	KY249670.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KY249670.1			RSVB/England783/2012	0	0			
PP_0024YR9.1	B.D	2012-11-27	United Kingdom		Valappil, M.; Talts, T.; Ellis, J.; Sails, A.; Eltringham, G.; Waugh, S.; Gould, K.; Harrison, I.; Pebody, R.; Zambon, M.	Public Health England National Infection Services, Reference Microbiology	Homo sapiens	15276	2017-01-24	KY249671.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KY249671.1			RSVB/England864/2012	0	0			
PP_0024YS7.1	B.D.4	2011-09-17	New Zealand	Christchurch	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	J. Craig Venter Institute	Homo sapiens	15231	2016-10-01	KX765975.2	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			KX765975.2				0	0			
